category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
Films (English),1,6670000,null,6,Only Mine,2022-01-04,2021-10-31
Films (English),3,10050000,null,7,A Castle For Christmas,2022-01-04,2021-12-12
Films (English),2,152290000,null,1,Don't Look Up,2022-01-04,2022-01-02
Films (English),1,18300000,null,4,Fistful of Vengeance,2022-02-22,2022-02-20
TV (English),2,21470000,Maya and the Three: Limited Series,7,Maya and the Three,2022-01-04,2021-11-07
Films (Non-English),1,2240000,null,6,Ilhados,2022-01-04,2021-09-19
TV (English),4,12920000,Good Girls: Season 4,9,Good Girls,2022-01-04,2021-09-26
TV (English),2,13440000,Lucifer: Season 5,9,Lucifer,2022-01-04,2021-07-11
TV (English),2,12300000,Disenchantment: Part 4,9,Disenchantment,2022-02-22,2022-02-20
TV (Non-English),2,8070000,Hospital Playlist: Season 2,8,Hospital Playlist,2022-01-04,2021-07-25
TV (Non-English),3,12590000,Dark Desire: Season 1,8,Dark Desire,2022-02-22,2022-02-20
TV (Non-English),2,38030000,Money Heist: Part 1,2,Money Heist,2022-01-04,2021-09-12
TV (English),9,20490000,Maid: Limited Series,5,Maid,2022-01-04,2021-11-28
TV (English),2,33750000,One of Us Is Lying: Season 1,4,One of Us Is Lying,2022-03-01,2022-02-27
TV (Non-English),8,9750000,null,5,Carrossel,2022-01-04,2021-08-29
TV (English),5,28510000,The Witcher: Season 1,6,The Witcher,2022-01-11,2022-01-09
TV (English),1,33200000,Midnight Mass: Limited Series,3,Midnight Mass,2022-01-04,2021-09-26
TV (English),1,13220000,Bake Squad: Season 1,6,Bake Squad,2022-01-04,2021-08-22
Films (Non-English),1,10320000,null,4,More the Merrier,2022-01-04,2021-12-05
Films (English),4,28390000,null,2,Don't Look Up,2022-01-18,2022-01-16
TV (Non-English),1,10780000,Midnight at the Pera Palace: Season 1,8,Midnight at the Pera Palace,2022-03-09,2022-03-06
Films (English),1,5740000,null,10,Just Go With It,2022-01-04,2021-11-07
TV (English),1,52380000,Worst Roommate Ever: Season 1,4,Worst Roommate Ever,2022-03-09,2022-03-06
Films (English),1,9390000,null,6,This Little Love of Mine,2022-01-04,2021-07-11
TV (English),3,20870000,All American: Season 3,4,All American,2022-01-04,2021-08-15
TV (Non-English),1,10630000,Into the Night: Season 2,8,Into the Night,2022-01-04,2021-09-12
TV (English),1,13240000,The Good Doctor: Season 2,10,The Good Doctor,2022-01-04,2021-08-01
Films (Non-English),1,4420000,null,7,El infierno,2022-01-04,2021-08-08
Films (English),1,44450000,null,1,The Weekend Away,2022-03-09,2022-03-06
TV (Non-English),7,37740000,Hometown Cha-Cha-Cha: Season 1,4,Hometown Cha-Cha-Cha,2022-01-04,2021-10-17
TV (English),2,38420000,Arcane: Season 1,1,Arcane,2022-01-04,2021-11-21
TV (English),1,51280000,Clickbait: Limited Series,1,Clickbait,2022-01-04,2021-08-29
Films (Non-English),1,6560000,null,3,Nobody Sleeps in the Woods Tonight 2,2022-01-04,2021-10-31
Films (English),5,7240000,null,10,Love Hard,2022-01-04,2021-12-05
Films (English),1,45800000,null,1,The Tinder Swindler,2022-02-08,2022-02-06
Films (Non-English),3,2820000,null,8,Rurouni Kenshin: The Final,2022-01-04,2021-08-15
TV (Non-English),2,6060000,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",10,Demon Slayer: Kimetsu no Yaiba,2022-01-04,2021-11-14
TV (Non-English),1,9790000,null,9,Carrossel,2022-01-04,2021-07-11
Films (Non-English),1,9210000,null,4,Mimi,2022-01-04,2021-08-01
TV (English),1,11140000,Brand New Cherry Flavor: Limited Series,8,Brand New Cherry Flavor,2022-01-04,2021-08-22
TV (English),1,13590000,Virgin River: Season 1,8,Virgin River,2022-01-04,2021-07-11
Films (Non-English),1,7110000,null,5,Sooryavanshi,2022-01-04,2021-12-05
Films (English),2,48140000,null,1,Sweet Girl,2022-01-04,2021-08-29
TV (English),4,30020000,Emily in Paris: Season 2,4,Emily in Paris,2022-01-18,2022-01-16
Films (Non-English),1,7910000,null,2,The Secret Diary of an Exchange Student,2022-01-04,2021-08-22
TV (Non-English),1,63190000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-09-19
Films (English),1,13690000,null,4,The Ice Road,2022-01-04,2021-07-04
Films (English),1,8430000,null,10,Tomb Raider,2022-01-04,2021-08-29
TV (English),1,21330000,Manifest: Season 2,5,Manifest,2022-01-04,2021-07-04
TV (Non-English),7,8820000,The Cook of Castamar: Season 1,9,The Cook of Castamar,2022-01-04,2021-08-22
TV (Non-English),7,11280000,The Queen of Flow: Season 1,10,The Queen of Flow,2022-01-04,2022-01-02
